TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,381.0,308.0,402.0,1450.0,591.0,357.0,4220.0,24.0,12.0,163.0,1130.0,646.8999999999999,399.0,298.0,407.0,1575.0,570.0,361.0,3956.0,18.0,11.0,242.0,23.0,8
Atlanta Falcons,252.0,248.0,385.0,1520.0,556.0,336.0,3573.0,16.0,8.0,270.0,891.0,697.7,414.0,320.0,480.0,2041.0,537.0,337.0,3793.0,16.0,12.0,146.0,7.0,7
Baltimore Ravens,255.0,291.0,446.0,1797.0,557.0,341.0,3308.0,14.0,26.0,273.0,873.0,626.1,384.0,258.0,445.0,1274.0,490.0,293.0,3740.0,17.0,6.0,189.0,20.0,7
Buffalo Bills,249.0,248.0,448.0,1800.0,445.0,263.0,2838.0,14.0,7.0,208.0,633.0,644.9,354.0,322.0,455.0,1996.0,567.0,354.0,3938.0,18.0,12.0,144.0,3.0,9
Carolina Panthers,246.0,255.0,451.0,1824.0,505.0,285.0,2918.0,17.0,12.0,206.0,801.0,712.0,347.0,302.0,473.0,1773.0,537.0,337.0,3602.0,14.0,16.0,177.0,21.0,12
Chicago Bears,314.0,266.0,424.0,1333.0,568.0,326.0,3682.0,21.0,13.0,339.0,839.0,668.9999999999999,348.0,305.0,453.0,1973.0,541.0,343.0,3931.0,16.0,17.0,251.0,20.0,7
Cleveland Browns,351.0,315.0,439.0,1901.0,545.0,305.0,3853.0,20.0,9.0,146.0,868.0,670.8000000000001,382.0,335.0,460.0,2072.0,578.0,340.0,3859.0,17.0,10.0,186.0,51.0,10
Dallas Cowboys,418.0,322.0,417.0,1743.0,531.0,342.0,4290.0,19.0,5.0,187.0,813.0,749.3000000000001,325.0,304.0,380.0,1513.0,581.0,342.0,3728.0,19.0,10.0,319.0,37.0,14
Denver Broncos,297.0,305.0,429.0,1957.0,515.0,326.0,3739.0,15.0,14.0,175.0,610.0,733.7,409.0,306.0,501.0,2282.0,458.0,279.0,3291.0,14.0,16.0,203.0,23.0,8
Detroit Lions,326.0,303.0,326.0,1288.0,588.0,368.0,4192.0,23.0,13.0,337.0,675.0,709.5999999999999,444.0,363.0,448.0,1911.0,602.0,422.0,4371.0,17.0,18.0,256.0,20.0,5
Green Bay Packers,400.0,306.0,388.0,1597.0,578.0,383.0,4457.0,15.0,9.0,127.0,1009.0,713.7,291.0,297.0,426.0,1650.0,534.0,294.0,3561.0,19.0,9.0,218.0,35.0,13
New York Giants,360.0,321.0,468.0,2150.0,543.0,302.0,3366.0,20.0,14.0,222.0,652.0,641.7000000000002,351.0,288.0,409.0,1555.0,523.0,306.0,3655.0,15.0,10.0,332.0,13.0,9
Indianapolis Colts,428.0,357.0,446.0,1706.0,551.0,355.0,4155.0,14.0,5.0,136.0,515.0,656.2,262.0,299.0,454.0,1711.0,498.0,325.0,2907.0,22.0,15.0,162.0,22.0,11
Jacksonville Jaguars,398.0,328.0,523.0,2388.0,469.0,288.0,3462.0,8.0,13.0,164.0,594.0,581.5,304.0,286.0,386.0,1597.0,544.0,320.0,3630.0,20.0,9.0,244.0,13.0,9
Kansas City Chiefs,216.0,255.0,384.0,1248.0,563.0,335.0,3525.0,20.0,13.0,344.0,697.0,716.1999999999999,335.0,278.0,481.0,2089.0,461.0,276.0,3270.0,14.0,8.0,252.0,10.0,7
Miami Dolphins,247.0,283.0,391.0,1559.0,558.0,318.0,3308.0,16.0,13.0,269.0,732.0,685.3000000000001,437.0,318.0,544.0,2456.0,409.0,242.0,3176.0,14.0,8.0,167.0,20.0,3
Minnesota Vikings,348.0,294.0,495.0,2634.0,432.0,249.0,2903.0,14.0,16.0,193.0,662.0,715.8999999999999,311.0,305.0,380.0,1181.0,648.0,415.0,4489.0,17.0,14.0,267.0,17.0,6
New England Patriots,551.0,393.0,451.0,1849.0,586.0,403.0,4859.0,9.0,6.0,128.0,685.0,649.6000000000001,274.0,278.0,359.0,1570.0,526.0,314.0,3363.0,19.0,12.0,337.0,38.0,13
New Orleans Saints,365.0,346.0,390.0,1461.0,655.0,443.0,4428.0,18.0,12.0,100.0,581.0,704.2,388.0,288.0,408.0,1646.0,524.0,327.0,4109.0,13.0,10.0,198.0,14.0,6
New York Jets,255.0,286.0,446.0,1701.0,512.0,310.0,3312.0,19.0,6.0,316.0,485.0,664.1,355.0,315.0,517.0,2156.0,471.0,289.0,3358.0,15.0,6.0,208.0,13.0,7
Oakland Raiders,263.0,267.0,507.0,2098.0,451.0,260.0,2870.0,20.0,17.0,274.0,865.0,801.8000000000001,398.0,292.0,486.0,2334.0,439.0,261.0,3302.0,18.0,8.0,186.0,20.0,7
Philadelphia Eagles,324.0,323.0,421.0,1974.0,578.0,350.0,3995.0,15.0,12.0,250.0,649.0,675.4,300.0,279.0,401.0,1528.0,542.0,315.0,3667.0,11.0,8.0,244.0,12.0,5
Pittsburgh Steelers,367.0,298.0,510.0,2164.0,443.0,283.0,3422.0,14.0,8.0,347.0,651.0,669.4999999999999,269.0,249.0,361.0,1438.0,536.0,292.0,3067.0,11.0,14.0,243.0,26.0,7
San Diego Chargers,398.0,289.0,485.0,2039.0,471.0,281.0,3173.0,16.0,8.0,170.0,761.0,722.3,284.0,297.0,416.0,1722.0,555.0,338.0,3684.0,30.0,18.0,282.0,14.0,9
Seattle Seahawks,373.0,323.0,430.0,1627.0,590.0,371.0,4181.0,13.0,11.0,217.0,428.0,635.6000000000001,291.0,278.0,422.0,1644.0,568.0,333.0,3808.0,20.0,14.0,303.0,20.0,6
San Francisco 49ers,202.0,218.0,357.0,1477.0,514.0,274.0,2671.0,18.0,16.0,362.0,702.0,758.8000000000001,364.0,308.0,504.0,1896.0,543.0,345.0,3809.0,12.0,10.0,183.0,17.0,9
St Louis Rams,247.0,280.0,404.0,1527.0,574.0,333.0,3553.0,28.0,9.0,328.0,779.0,755.6,438.0,315.0,446.0,1844.0,523.0,318.0,3839.0,18.0,9.0,225.0,16.0,6
Tampa Bay Buccaneers,303.0,281.0,449.0,1872.0,490.0,316.0,3561.0,8.0,12.0,222.0,614.0,672.5999999999999,270.0,257.0,454.0,1726.0,491.0,297.0,2921.0,17.0,18.0,200.0,31.0,7
Tennessee Titans,281.0,306.0,540.0,2105.0,465.0,288.0,3061.0,17.0,16.0,199.0,773.0,661.2,297.0,268.0,370.0,1475.0,569.0,349.0,3404.0,22.0,12.0,238.0,20.0,8
Washington Redskins,314.0,307.0,499.0,1872.0,525.0,319.0,3602.0,11.0,18.0,159.0,751.0,657.3000000000001,310.0,291.0,392.0,1457.0,601.0,351.0,3622.0,14.0,10.0,198.0,20.0,9
Cincinnati Bengals,335.0,320.0,416.0,1556.0,575.0,373.0,4130.0,20.0,10.0,119.0,670.0,657.7,385.0,313.0,449.0,1893.0,540.0,353.0,3814.0,19.0,16.0,128.0,45.0,5
Houston Texans,345.0,295.0,417.0,1586.0,529.0,346.0,3924.0,21.0,17.0,174.0,629.0,674.6,384.0,325.0,417.0,1825.0,547.0,361.0,3867.0,11.0,14.0,196.0,34.0,7
